ocel_id;ocel_time;rain condition
enter_tr17_Pcp275;2024-05-14 11:14:50;No Rain
enter_tr46_Pcp476;2024-05-14 11:14:58;No Rain
enter_tr42_Pcp171;2024-05-14 11:25:24;No Rain
enter_tr31_Pcp211;2024-05-14 11:30:10;No Rain
enter_tr1_Pcp398;2024-05-14 11:35:55;No Rain
enter_tr26_Pcp467;2024-05-14 11:49:34;No Rain
enter_tr28_Pcp379;2024-05-14 11:49:48;No Rain
enter_tr24_Pcp197;2024-05-14 11:50:32;No Rain
enter_tr37_Pcp72;2024-05-14 11:54:06;No Rain
enter_tr43_Pcp309;2024-05-14 11:55:18;No Rain
enter_tr14_Pcp249;2024-05-14 11:57:58;No Rain
enter_tr23_Pcp270;2024-05-14 12:02:50;Have Rain
enter_tr6_Pcp435;2024-05-14 12:22:24;Have Rain
enter_tr27_Pcp172;2024-05-14 12:25:04;Have Rain
enter_tr39_Pcp473;2024-05-14 12:29:18;Have Rain
enter_tr9_Pcp253;2024-05-14 12:56:56;Have Rain
enter_tr16_Pcp465;2024-05-14 13:13:43;No Rain
enter_tr5_Pcp454;2024-05-14 13:35:26;No Rain
enter_tr48_Pcp268;2024-05-14 15:46:49;No Rain
enter_tr41_Pcp76;2024-05-14 16:02:20;No Rain
enter_tr34_Pcp383;2024-05-14 16:39:45;No Rain
enter_tr50_Pcp452;2024-05-14 18:03:19;No Rain
enter_tr2_Pcp460;2024-05-14 18:08:29;No Rain
enter_tr13_Pcp369;2024-05-14 18:16:11;No Rain
enter_tr12_Pcp45;2024-05-14 18:19:49;No Rain
enter_tr47_Pcp217;2024-05-14 18:28:07;No Rain
enter_tr36_Pcp327;2024-05-14 18:40:04;No Rain
enter_tr22_Pcp141;2024-05-14 20:24:02;No Rain
enter_tr3_Pcp484;2024-05-14 20:44:04;No Rain
enter_tr21_Pcp408;2024-05-16 09:31:23;No Rain
enter_tr30_Pcp290;2024-05-16 09:48:39;No Rain
enter_tr20_Pcp395;2024-05-16 10:31:32;Have Rain
enter_tr10_Pcp221;2024-05-16 10:38:31;Have Rain
enter_tr32_Pcp339;2024-05-16 11:05:52;No Rain
enter_tr15_Pcp257;2024-05-16 11:17:13;No Rain
enter_tr25_Pcp365;2024-05-16 11:18:23;No Rain
enter_tr35_Pcp56;2024-05-16 11:22:11;No Rain
enter_tr7_Pcp46;2024-05-16 11:29:34;No Rain
enter_tr40_Pcp145;2024-05-16 11:39:07;No Rain
enter_tr33_Pcp341;2024-05-16 11:40:42;No Rain
enter_tr18_Pcp456;2024-05-16 11:42:50;No Rain
enter_tr45_Pcp226;2024-05-16 11:45:49;No Rain
enter_tr31_Pcp483;2024-05-16 12:02:11;Have Rain
enter_tr29_Pcp163;2024-05-16 12:05:08;Have Rain
enter_tr19_Pcp130;2024-05-16 12:07:29;Have Rain
enter_tr38_Pcp344;2024-05-16 12:11:23;Have Rain
enter_tr4_Pcp346;2024-05-16 12:15:16;Have Rain
enter_tr46_Pcp204;2024-05-16 12:15:59;Have Rain
enter_tr44_Pcp411;2024-05-16 12:19:58;Have Rain
enter_tr42_Pcp403;2024-05-16 12:30:27;Have Rain
enter_tr11_Pcp107;2024-05-16 12:41:47;Have Rain
enter_tr23_Pcp281;2024-05-16 12:50:40;Have Rain
enter_tr17_Pcp306;2024-05-16 12:57:42;Have Rain
enter_tr49_Pcp360;2024-05-16 12:57:46;Have Rain
enter_tr1_Pcp396;2024-05-16 12:59:26;Have Rain
enter_tr24_Pcp436;2024-05-16 13:00:34;No Rain
enter_tr8_Pcp158;2024-05-16 13:22:09;No Rain
enter_tr26_Pcp268;2024-05-16 13:23:51;No Rain
enter_tr37_Pcp134;2024-05-16 13:27:55;No Rain
enter_tr43_Pcp214;2024-05-16 13:35:44;No Rain
enter_tr28_Pcp293;2024-05-16 13:36:34;No Rain
enter_tr27_Pcp43;2024-05-16 14:04:55;Have Rain
enter_tr39_Pcp327;2024-05-16 14:08:37;Have Rain
enter_tr9_Pcp74;2024-05-16 14:12:09;Have Rain
enter_tr6_Pcp279;2024-05-16 14:14:39;Have Rain
enter_tr14_Pcp485;2024-05-16 14:48:16;Have Rain
enter_tr16_Pcp198;2024-05-16 15:37:34;No Rain
enter_tr5_Pcp363;2024-05-16 16:27:09;No Rain
enter_tr48_Pcp131;2024-05-16 16:51:43;No Rain
enter_tr41_Pcp315;2024-05-16 17:24:25;No Rain
enter_tr34_Pcp74;2024-05-16 17:38:29;No Rain
enter_tr47_Pcp476;2024-05-16 19:16:44;No Rain
enter_tr13_Pcp472;2024-05-16 19:19:08;No Rain
enter_tr2_Pcp362;2024-05-16 19:37:03;No Rain
enter_tr36_Pcp85;2024-05-16 20:19:09;No Rain
enter_tr50_Pcp483;2024-05-16 20:28:21;No Rain
enter_tr12_Pcp389;2024-05-16 20:56:31;No Rain
enter_tr22_Pcp466;2024-05-16 21:35:11;Have Rain
enter_tr3_Pcp324;2024-05-16 21:44:24;Have Rain
enter_tr21_Pcp155;2024-05-18 11:19:38;No Rain
enter_tr30_Pcp1;2024-05-18 11:28:40;No Rain
enter_tr32_Pcp379;2024-05-18 11:37:22;No Rain
enter_tr10_Pcp130;2024-05-18 11:52:07;No Rain
enter_tr33_Pcp410;2024-05-18 12:15:10;No Rain
enter_tr7_Pcp339;2024-05-18 12:21:32;No Rain
enter_tr20_Pcp100;2024-05-18 12:24:19;No Rain
enter_tr35_Pcp34;2024-05-18 12:26:52;No Rain
enter_tr15_Pcp34;2024-05-18 12:42:24;No Rain
enter_tr25_Pcp41;2024-05-18 12:47:01;No Rain
enter_tr40_Pcp431;2024-05-18 12:48:43;No Rain
enter_tr38_Pcp161;2024-05-18 12:59:27;No Rain
enter_tr46_Pcp220;2024-05-18 12:59:31;No Rain
